"danceability","energy","loudness","mode","key","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","virality"
0.629,0.547,-13.123,"0","10",0.055,0.72,0.00314,0.0604,0.197,108.375,"4",298933,"Yes"
0.52,0.731,-5.338,"0","6",0.0557,0.342,0.00101,0.311,0.662,173.93,"4",167303,"No"
0.768,0.716,-5.11,"1","10",0.0404,0.35,0,0.15,0.841,131.43,"4",163026,"Yes"
0.761,0.525,-6.9,"1","11",0.0944,0.44,6.7e-06,0.0921,0.531,80.87,"4",238805,"No"
0.836,0.743,-6.305,"0","10",0.0656,0.0995,0,0.335,0.722,108.966,"4",191822,"Yes"
0.44,0.317,-9.258,"1","8",0.0531,0.891,4.78e-06,0.141,0.268,169.914,"3",233456,"Yes"
0.686,0.494,-7.093,"1","1",0.0355,0.613,5.8e-05,0.402,0.7,168.946,"4",232067,"No"
0.591,0.764,-5.484,"1","1",0.0483,0.0383,0,0.103,0.478,169.928,"4",141806,"No"
0.728,0.783,-4.424,"0","11",0.266,0.237,0,0.434,0.555,77.011,"4",173381,"No"
0.905,0.563,-6.135,"1","8",0.102,0.0254,9.71e-06,0.113,0.324,106.998,"4",173948,"No"
0.578,0.912,-3.929,"1","1",0.114,0.0166,0.00362,0.273,0.68,127.87,"4",177525,"No"
0.723,0.772,-6.784,"1","1",0.0792,0.00524,1.15e-05,0.367,0.58,102.004,"4",146471,"No"
0.695,0.54,-5.692,"1","4",0.0493,0.299,0,0.367,0.415,121.932,"4",168602,"Yes"
0.767,0.758,-3.191,"0","11",0.084,0.0368,0,0.0682,0.844,111.986,"4",160982,"No"
0.41,0.611,-8.271,"0","4",0.0467,0.0228,0,0.116,0.0899,185.727,"3",184448,"No"
0.812,0.736,-5.421,"0","4",0.0833,0.152,0.00254,0.0914,0.396,91.993,"4",193806,"Yes"
0.802,0.509,-6.889,"0","10",0.181,0.0283,0,0.307,0.0567,87.849,"4",135000,"No"
0.563,0.639,-8.205,"1","0",0.0684,0.107,1.06e-05,0.446,0.518,169.985,"4",179551,"No"
0.73,0.907,-3.72,"1","2",0.0606,0.0921,0.114,0.23,0.249,120.968,"4",111074,"No"
0.619,0.707,-8.033,"1","1",0.099,0.00601,0,0.0946,0.365,85.285,"5",166805,"No"
0.506,0.817,-5.051,"0","11",0.0335,0.00272,0,0.0486,0.506,109.952,"4",208707,"No"
0.812,0.653,-5.849,"0","5",0.0361,0.0059,0,0.105,0.864,124.034,"4",135484,"No"
0.376,0.657,-4.658,"1","7",0.0768,0.0858,0,0.0884,0.203,80.565,"4",164782,"No"
0.736,0.704,-7.409,"0","3",0.0615,0.0203,0,0.0501,0.894,149.995,"4",212000,"Yes"
0.539,0.508,-6.05,"1","10",0.0288,0.727,0,0.174,0.227,101.358,"3",177720,"No"
0.541,0.527,-7.438,"0","11",0.147,0.00279,0.000509,0.286,0.429,176.123,"4",166504,"Yes"
0.669,0.773,-5.619,"1","0",0.153,0.038,0,0.113,0.377,93.923,"4",185857,"No"
0.745,0.65,-11.814,"1","2",0.346,0.0451,0.00758,0.111,0.386,144.047,"4",152137,"Yes"
0.744,0.848,-5.073,"0","9",0.0993,0.0811,1.12e-05,0.0889,0.823,150.056,"4",178913,"No"
0.827,0.456,-9.246,"1","5",0.0942,0.622,9.79e-05,0.109,0.689,114.269,"4",135978,"No"
0.691,0.823,-4.974,"1","7",0.0626,0.0235,0,0.0781,0.149,125.973,"4",134330,"Yes"
0.756,0.697,-6.377,"1","8",0.0401,0.182,0,0.333,0.956,94.996,"4",206071,"No"
0.782,0.586,-6.067,"0","10",0.0567,0.0608,0.00409,0.115,0.724,120.018,"4",156000,"No"
0.797,0.666,-6.588,"0","0",0.0363,0.167,0.000131,0.104,0.855,119.021,"4",177080,"No"
0.445,0.537,-8.532,"0","4",0.04,0.695,1.65e-05,0.0944,0.131,122.769,"4",244360,"No"
0.706,0.633,-9.584,"1","1",0.0419,0.267,0.0192,0.175,0.375,110.005,"4",120157,"No"
0.621,0.847,-6.108,"1","3",0.278,0.0584,1.11e-06,0.109,0.373,101.996,"4",172431,"No"
0.308,0.861,-4.112,"0","11",0.172,0.012,0.00103,0.277,0.0386,171.966,"4",158774,"No"
0.773,0.47,-7.93,"1","2",0.0299,0.0153,0.000193,0.0851,0.399,94.995,"4",162680,"No"
0.783,0.753,-5.003,"1","11",0.325,0.0117,0,0.139,0.663,124.036,"4",145161,"No"
0.645,0.681,-5.961,"1","4",0.139,0.037,0,0.0783,0.458,163.87,"4",142644,"No"
0.738,0.685,-8.113,"0","10",0.409,0.135,0,0.4,0.663,162.039,"4",204000,"No"
0.643,0.745,-5.554,"0","5",0.0619,0.0449,0,0.0916,0.461,124.968,"4",182613,"No"
0.69,0.626,-5.693,"1","6",0.306,0.105,0.000335,0.0881,0.912,184.009,"4",185681,"No"
0.772,0.754,-4.57,"0","9",0.05,0.348,0.397,0.0784,0.88,112.043,"4",149787,"No"
0.792,0.895,-3.112,"0","1",0.0589,0.165,0,0.0501,0.794,94.968,"4",201526,"Yes"
0.776,0.656,-8.921,"0","4",0.13,0.329,0,0.119,0.649,148.95,"4",183465,"No"
0.727,0.739,-3.805,"1","8",0.0411,0.365,0.00137,0.161,0.533,93.005,"4",145800,"Yes"
0.808,0.897,-3.712,"0","11",0.0348,0.0469,3.14e-05,0.364,0.591,126.026,"4",231041,"Yes"
0.557,0.802,-4.429,"1","0",0.0541,0.00924,0.000708,0.569,0.778,169.893,"4",191080,"No"
0.729,0.763,-7.677,"1","6",0.0345,0.668,0.0264,0.147,0.113,125.989,"4",137029,"No"
0.808,0.592,-6.382,"1","2",0.415,0.431,0,0.426,0.628,139.925,"4",185376,"No"
0.714,0.728,-4.595,"1","10",0.0468,0.298,0,0.106,0.901,114.996,"4",177955,"No"
0.796,0.66,-6.695,"0","4",0.0505,0.0531,2.73e-05,0.319,0.735,109.92,"4",158312,"No"
0.712,0.829,-8.167,"0","0",0.03,0.0891,0.0279,0.168,0.541,121.976,"4",155410,"No"
0.688,0.595,-8.094,"0","8",0.0508,0.0515,2.7e-06,0.0853,0.312,117.979,"4",202507,"No"
0.843,0.7,-3.563,"0","4",0.0803,0.0934,0,0.14,0.899,93.991,"4",226088,"No"
0.579,0.727,-5.149,"0","11",0.0399,0.0321,0,0.714,0.246,124.09,"4",183091,"No"
0.732,0.511,-5.101,"1","11",0.0413,0.15,8.92e-06,0.059,0.691,171.907,"4",161423,"No"
