Year_of_release,Videos_created,track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,time_signature.2,duration_ms.2,time_signature.1,duration_ms.1
2022,2.4M videos,Running Up That Hill (A Deal With God),Kate Bush,81,Hounds Of Love,95,0.629,0.547,-13.123,0,10,0.055,0.72,0.00314,0.0604,0.197,108.375,4,298933,4,298933,4,298933
2022,577.8K videos,As It Was,Harry Styles,91,As It Was,96,0.52,0.731,-5.338,0,6,0.0557,0.342,0.00101,0.311,0.662,173.93,4,167303,4,167303,4,167303
2022,9.5M videos,Sunroof,Nicky Youre,73,Sunroof,44,0.768,0.716,-5.11,1,10,0.0404,0.35,0,0.15,0.841,131.43,4,163026,4,163026,4,163026
2022,217.4K videos,Heat Waves,Glass Animals,80,Dreamland (+ Bonus Levels),89,0.761,0.525,-6.9,1,11,0.0944,0.44,6.70E-06,0.0921,0.531,80.87,4,238805,4,238805,4,238805
2022,1.8M videos,About Damn Time,Lizzo,81,About Damn Time,92,0.836,0.743,-6.305,0,10,0.0656,0.0995,0,0.335,0.722,108.966,4,191822,4,191822,4,191822
2022,1M videos,Glimpse of Us,Joji,85,Glimpse of Us,97,0.44,0.317,-9.258,1,8,0.0531,0.891,4.78E-06,0.141,0.268,169.914,3,233456,3,233456,3,233456
2022,682.4K videos,Bad Habit,Steve Lacy,83,Gemini Rights,86,0.686,0.494,-7.093,1,1,0.0355,0.613,5.80E-05,0.402,0.7,168.946,4,232067,4,232067,4,232067
2022,5499 videos,STAY (with Justin Bieber),The Kid LAROI,83,STAY (with Justin Bieber),89,0.591,0.764,-5.484,1,1,0.0483,0.0383,0,0.103,0.478,169.928,4,141806,4,141806,4,141806
2022,110.5K videos,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,88,Enemy (with JID) [from the series Arcane League of Legends],87,0.728,0.783,-4.424,0,11,0.266,0.237,0,0.434,0.555,77.011,4,173381,4,173381,4,173381
2022,524.6K videos,First Class,Jack Harlow,84,First Class,89,0.905,0.563,-6.135,1,8,0.102,0.0254,9.71E-06,0.113,0.324,106.998,4,173948,4,173948,4,173948
